original_classification_full_name,original_classification,aggregated_mrio
Angola,AGO,AGO
United Arab Emirates,ARE,ARE
Argentina,ARG,ARG
Australia,AUS,AUS
Austria,AUT,EU27
Belgium,BEL,EU27
Bangladesh,BGD,BGD
Bulgaria,BGR,EU27
Belarus,BLR,BLR
Brazil,BRA,BRICS5
Brunei Darussalam,BRN,BRN
Canada,CAN,USMCA
Switzerland,CHE,CHE
Chile,CHL,CHL
"China, People's Republic of",CHN,BRICS5
C¶te d'Ivoire,CIV,CIV
Cameroon,CMR,CMR
Democratic Republic of the Congo,COD,COD
Colombia,COL,COL
Costa Rica,CRI,CRI
Cyprus,CYP,EU27
Czechia,CZE,EU27
Germany,DEU,EU27
Denmark,DNK,EU27
Egypt,EGY,EGY
Spain,ESP,EU27
Estonia,EST,EU27
Finland,FIN,EU27
France,FRA,EU27
United Kingdom,GBR,GBR
Greece,GRC,EU27
"Hong Kong, China",HKG,HKG
Croatia,HRV,EU27
Hungary,HUN,EU27
Indonesia,IDN,IDN
India,IND,BRICS5
Ireland,IRL,EU27
Iceland,ISL,ISL
Israel,ISR,ISR
Italy,ITA,EU27
Jordan,JOR,JOR
Japan,JPN,JPN
Kazakhstan,KAZ,KAZ
Cambodia,KHM,KHM
Korea,KOR,KOR
Lao (People's Democratic Republic),LAO,LAO
Lithuania,LTU,EU27
Luxembourg,LUX,EU27
Latvia,LVA,EU27
Morocco,MAR,MAR
Mexico,MEX,USMCA
Malta,MLT,EU27
Myanmar,MMR,MMR
Malaysia,MYS,MYS
Nigeria,NGA,NGA
Netherlands,NLD,EU27
Norway,NOR,NOR
New Zealand,NZL,NZL
Pakistan,PAK,PAK
Peru,PER,PER
Philippines,PHL,PHL
Poland,POL,EU27
Portugal,PRT,EU27
Romania,ROU,EU27
Russian Federation,RUS,BRICS5
Saudi Arabia,SAU,SAU
Senegal,SEN,SEN
Singapore,SGP,SGP
Sa§ Tomķ and PrĒncipe,STP,STP
Slovak Republic,SVK,EU27
Slovenia,SVN,EU27
Sweden,SWE,EU27
Thailand,THA,THA
Tunisia,TUN,TUN
T³rkiye,TUR,TUR
Chinese Taipei,TWN,TWN
Ukraine,UKR,UKR
United States,USA,USMCA
Viet Nam,VNM,VNM
South Africa,ZAF,BRICS5
Rest of the World,ROW,ROW
